Wavelength (nm),Absorbance (AU)
1406.674067,2.187383
1411.114454,2.217321
1415.547108,2.241397
1419.972028,2.257834
1424.389216,2.270373
1428.798670,2.281070
1433.200392,2.284592
1437.594380,2.287981
1441.980634,2.287809
1446.359156,2.284088
1450.729945,2.284557
1454.002961,2.282649
1458.360217,2.273993
1462.709739,2.268925
1467.051528,2.262166
1471.385584,2.250884
1475.711907,2.242579
1480.030496,2.231738
1484.341353,2.223018
1488.644476,2.211637
1492.939866,2.197271
1496.156333,2.189289
1500.438190,2.175570
1504.712314,2.162445
1508.978705,2.149358
1513.237362,2.136293
1517.488287,2.121450
1521.731478,2.107572
1525.966936,2.095399
1530.194661,2.081342
1534.414652,2.066556
1538.626911,2.052638
1541.781030,2.041753
1545.979755,2.027896
1550.170747,2.015234
1554.354006,2.000486
1558.529532,1.985597
1562.697325,1.971595
1566.857384,1.958381
1571.009711,1.947647
1575.154304,1.931193
1579.291164,1.919442
1583.420291,1.903526
1586.512061,1.893968
1590.627655,1.882097
1594.735515,1.868328
1598.835643,1.856967
1602.928037,1.844503
1607.012698,1.834335
1611.089626,1.823899
1615.158820,1.813919
1619.220282,1.807886
1623.274010,1.796605
1626.309232,1.791976
1630.349427,1.781039
1634.381889,1.766302
1638.406618,1.758556
1642.423614,1.744349
1646.432877,1.731941
1650.434406,1.717642
1654.428202,1.704432
1658.414265,1.689464
1662.392595,1.683858
1666.363192,1.683105
1669.336065,1.686560
1673.293128,1.700271
1677.242459,1.720276
1681.184056,1.748965
1685.117920,1.789016
1689.044051,1.830612
1692.962449,1.863069
1696.873114,1.883955
1700.776045,1.901021
