Wavelength (nm),Absorbance (AU)
1123.644046,2.015727
1128.552290,2.021519
1133.452801,2.033191
1138.345578,2.049700
1143.230623,2.070965
1148.107934,2.092087
1152.977513,2.109773
1157.839358,2.122840
1162.693470,2.128147
1166.328979,2.128546
1171.169557,2.126030
1176.002403,2.122828
1180.827515,2.116533
1185.644895,2.110419
1190.454541,2.103501
1195.256454,2.093809
1200.050634,2.084872
1204.837080,2.072188
1209.615794,2.059175
1213.194754,2.049044
1217.959934,2.035272
1222.717381,2.018001
1227.467095,1.999758
1232.209076,1.981391
1236.943324,1.963954
1241.669838,1.947262
1246.388620,1.930363
1251.099668,1.913829
1255.802983,1.898233
1260.498565,1.883674
1264.015176,1.872039
1268.697225,1.857780
1273.371541,1.844297
1278.038123,1.832696
1282.696972,1.821505
1287.348088,1.813789
1291.991471,1.806607
1296.627121,1.802695
1301.255037,1.800887
1305.875221,1.801631
1310.487671,1.804711
1313.941934,1.809278
1318.540851,1.816586
1323.132035,1.827638
1327.715486,1.839785
1332.291203,1.853804
1336.859188,1.867579
1341.419439,1.881715
1345.971957,1.895557
1350.516742,1.907591
1355.053794,1.919362
1358.451508,1.928299
1362.975026,1.941105
1367.490812,1.957126
1371.998864,1.977042
1376.499183,2.004715
1380.991769,2.040071
1385.476622,2.085968
1389.953742,2.138292
1394.423128,2.190804
1398.884781,2.240572
1403.338702,2.283405
1406.674067,2.311299
1411.114454,2.336723
1415.547108,2.356485
1419.972028,2.365812
1424.389216,2.378138
1428.798670,2.384458
1433.200392,2.385112
1437.594380,2.379989
1441.980634,2.380923
1446.359156,2.377346
1450.729945,2.371643
1454.002961,2.366222
1458.360217,2.360323
1462.709739,2.354435
1467.051528,2.346463
1471.385584,2.332968
1475.711907,2.327446
1480.030496,2.314161
1484.341353,2.305075
1488.644476,2.293621
1492.939866,2.283177
1496.156333,2.271829
1500.438190,2.258172
1504.712314,2.244703
1508.978705,2.227956
1513.237362,2.215638
1517.488287,2.199810
1521.731478,2.188327
1525.966936,2.169615
1530.194661,2.155141
1534.414652,2.138433
1538.626911,2.123295
1541.781030,2.111961
1545.979755,2.093240
1550.170747,2.078142
1554.354006,2.062452
1558.529532,2.046894
1562.697325,2.027883
1566.857384,2.013955
1571.009711,1.999464
1575.154304,1.982215
1579.291164,1.964848
1583.420291,1.949667
1586.512061,1.937720
1590.627655,1.923691
1594.735515,1.910946
1598.835643,1.894419
1602.928037,1.881105
1607.012698,1.867795
1611.089626,1.856702
1615.158820,1.847989
1619.220282,1.834830
1623.274010,1.826314
1626.309232,1.819505
1630.349427,1.808458
1634.381889,1.796427
1638.406618,1.778211
1642.423614,1.766857
1646.432877,1.754420
1650.434406,1.737578
1654.428202,1.722707
1658.414265,1.709967
1662.392595,1.703285
1666.363192,1.704264
1669.336065,1.708183
1673.293128,1.723561
1677.242459,1.742400
1681.184056,1.779308
1685.117920,1.825056
1689.044051,1.864338
1692.962449,1.900468
1696.873114,1.934380
1700.776045,1.942976
