Wavelength (nm),Absorbance (AU)
1222.717381,1.976436
1227.467095,1.967613
1232.209076,1.942494
1236.943324,1.918483
1241.669838,1.894112
1246.388620,1.878963
1251.099668,1.877553
1255.802983,1.856339
1260.498565,1.835641
1264.015176,1.830191
1268.697225,1.822297
1273.371541,1.797889
1278.038123,1.782977
1282.696972,1.772956
1287.348088,1.761625
1291.991471,1.755373
1296.627121,1.756299
1301.255037,1.745499
1305.875221,1.737931
1310.487671,1.732388
1313.941934,1.734474
1318.540851,1.745544
1323.132035,1.741462
1327.715486,1.738933
1332.291203,1.738645
1336.859188,1.744228
1341.419439,1.758885
1345.971957,1.758398
1350.516742,1.756743
1355.053794,1.766086
1358.451508,1.777225
1362.975026,1.764312
1367.490812,1.765063
1371.998864,1.774776
1376.499183,1.781675
1380.991769,1.798788
1385.476622,1.822430
1389.953742,1.837137
1394.423128,1.851356
1398.884781,1.863790
1403.338702,1.884029
1406.674067,1.899377
1411.114454,1.902466
1415.547108,1.904932
1419.972028,1.899990
1424.389216,1.915635
1428.798670,1.918481
1433.200392,1.905702
1437.594380,1.900838
1441.980634,1.899465
1446.359156,1.910731
1450.729945,1.889044
1454.002961,1.876345
1458.360217,1.873164
1462.709739,1.874251
1467.051528,1.883218
1471.385584,1.853360
1475.711907,1.839478
1480.030496,1.838169
1484.341353,1.819898
1488.644476,1.818704
1492.939866,1.837740
1496.156333,1.819940
1500.438190,1.801366
1504.712314,1.784529
1508.978705,1.779797
1513.237362,1.792110
1517.488287,1.775147
1521.731478,1.757729
1525.966936,1.748081
1530.194661,1.744586
1534.414652,1.734929
1538.626911,1.718241
1541.781030,1.710581
1545.979755,1.710719
1550.170747,1.710956
1554.354006,1.677251
1558.529532,1.667400
1562.697325,1.660014
1566.857384,1.643800
1571.009711,1.639529
1575.154304,1.647729
1579.291164,1.628103
1583.420291,1.611247
1586.512061,1.589806
1590.627655,1.586239
1594.735515,1.604707
1598.835643,1.582394
1602.928037,1.565732
1607.012698,1.553730
1611.089626,1.550837
1615.158820,1.552444
1619.220282,1.536705
1623.274010,1.527875
1626.309232,1.514119
1630.349427,1.506685
1634.381889,1.520471
1638.406618,1.504668
1642.423614,1.488757
1646.432877,1.468462
1650.434406,1.457944
1654.428202,1.473035
1658.414265,1.451522
1662.392595,1.436961
1666.363192,1.413932
1669.336065,1.404895
1673.293128,1.466803
1677.242459,1.479641
1681.184056,1.475988
1685.117920,1.488389
1689.044051,1.513225
1692.962449,1.583740
1696.873114,1.615360
1700.776045,1.620688
